DateTime	PRE_CLOSE	OPEN	HIGH	LOW	CLOSE	VOLUME	AMT	DEALNUM	CHG	PCT_CHG	SWING	VWAP	ADJFACTOR	CLOSE2	TURN	FREE_TURN	LASTRADEDAY_S	LAST_TRADE_DAY	REL_IPO_CHG	REL_IPO_PCT_CHG	TRADE_STATUS	SUSP_DAYS	SUSP_REASON	MAXUPORDOWN	OPEN3	HIGH3	LOW3	CLOSE3
2015-02-09	13.51	13.5	13.68	13.22	13.52	94658628.0	1273141159.6	40359.0	0.009999999999999787	0.07401924580335617	3.4048852701702375	13.44981631890967	71.053697	13.52	0.962299461004356	1.9080215007348027	2015-02-09 00:00:00.005000	2015-02-09 00:00:00.005000	-26.48	2301.6149586	交易	0		0	13.5	13.68	13.22	13.52
2015-02-10	13.52	13.49	13.82	13.42	13.77	72487537.0	991823743.8000001	31639.0	0.25	1.8491123914718628	2.9585798816568074	13.682679600494636	71.053697	13.77	0.7369081853228774	1.4611217387527475	2015-02-10 00:00:00.005000	2015-02-10 00:00:00.005000	-26.23	2346.023519225	交易	0		0	13.49	13.82	13.42	13.77
2015-02-11	13.77	13.78	13.85	13.68	13.73	55434951.0	763414581.5	25377.0	-0.03999999999999915	-0.29048657417297363	1.2345679012345674	13.771358461198965	71.053697	13.73	0.5635516232931549	1.117395008093507	2015-02-11 00:00:00.005000	2015-02-11 00:00:00.005000	-26.27	2338.918149525	交易	0		0	13.78	13.85	13.68	13.73
2015-02-12	13.73	13.75	13.9	13.62	13.86	60871568.00000001	838611239.4	26754.0	0.129999999999999	0.9468317627906799	2.0393299344501172	13.776731353462093	71.053697	13.86	0.6188202630286381	1.226980181113977	2015-02-12 00:00:00.005000	2015-02-12 00:00:00.005000	-26.14	2362.01060105	交易	0		0	13.75	13.9	13.62	13.86
2015-02-13	13.86	13.93	14.18	13.84	13.95	88774310.0	1244514793.5	40057.0	0.08999999999999986	0.649350643157959	2.4531024531024523	14.018861915119363	71.053697	13.95	0.9024794936182005	1.7894120776068778	2015-02-13 00:00:00.005000	2015-02-13 00:00:00.005000	-26.05	2377.997682875	交易	0		0	13.93	14.18	13.84	13.95
2015-02-16	13.95	13.95	14.01	13.73	13.92	72120239.0	999898468.8000001	33530.0	-0.02999999999999936	-0.2150537669658661	2.0071684587813574	13.864325502304562	71.053697	13.92	0.7331742344417388	1.4537181613294947	2015-02-16 00:00:00.005000	2015-02-16 00:00:00.005000	-26.08	2372.6686555999995	交易	0		0	13.95	14.01	13.73	13.92
2015-02-17	13.92	13.96	14.11	13.93	13.99	68049159.0	954430237.8	28204.0	0.07000000000000028	0.5028735399246216	1.29310344827586	14.025599314166394	71.053697	13.99	0.6917876416664281	1.3716579378154645	2015-02-17 00:00:00.005000	2015-02-17 00:00:00.005000	-26.009999999999998	2385.1030525749998	交易	0		0	13.96	14.11	13.93	13.99
2015-02-25	13.99	14.04	14.05	13.76	13.8	57739232.99999999	799193628.9	27758.0	-0.1899999999999995	-1.3581129312515259	2.0729092208720585	13.841431334912262	71.053697	13.8	0.5869769504234196	1.1638421169588093	2015-02-25 00:00:00.005000	2015-02-25 00:00:00.005000	-26.2	2351.3525465000002	交易	0		0	14.04	14.05	13.76	13.8
2015-02-26	13.8	13.8	14.08	13.6	14.07	102554424.0	1424064862.1000001	43423.0	0.2699999999999996	1.95652174949646	3.4782608695652204	13.885942766350091	71.053697	14.07	1.0425681105246127	2.0671760210540264	2015-02-26 00:00:00.005000	2015-02-26 00:00:00.005000	-25.93	2399.313791975	交易	0		0	13.8	14.08	13.6	14.07
2015-02-27	14.07	14.06	14.16	13.96	13.99	79357014.0	1115146052.8	36250.0	-0.08000000000000007	-0.5685856342315674	1.421464108031267	14.052268307373561	71.053697	13.99	0.8067432775289658	1.5995888821261253	2015-02-27 00:00:00.005000	2015-02-27 00:00:00.005000	-26.009999999999998	2385.1030525749998	交易	0		0	14.06	14.16	13.96	13.99
